,date,trans#,description,department,gl,gl_desc,amount
2,2018-01-12,30007143_020,Various Trans Text Here,560,50300,ADVERTISING,89.64
3,2018-01-12,30007143_020,Various Trans Text Here,560,50300,ADVERTISING,2500.0
4,2018-01-19,30007142_020,Various Trans Text Here,560,50300,ADVERTISING,2000.0
5,2018-01-25,30007155_020,Various Trans Text Here,560,50300,ADVERTISING,1710.0
6,2018-01-25,30007155_020,Various Trans Text Here,560,50300,ADVERTISING,568.5
7,2018-01-26,30007154_020,Various Trans Text Here,560,50300,ADVERTISING,1600.0
8,2018-01-26,30007154_020,Various Trans Text Here,560,50300,ADVERTISING,429.0
9,2018-01-29,30007188_020,Various Trans Text Here,560,50300,ADVERTISING,179.2
10,2018-01-29,30007188_020,Various Trans Text Here,560,50300,ADVERTISING,-60.0
11,2018-01-31,30007189_020,Various Trans Text Here,560,50300,ADVERTISING,8.4
12,2018-01-31,30007189_020,Various Trans Text Here,560,50300,ADVERTISING,162.0
13,2018-02-01,30007190_020,Various Trans Text Here,560,50300,ADVERTISING,-8.4
14,2018-02-01,30007190_020,Various Trans Text Here,560,50300,ADVERTISING,-162.0
15,2018-02-14,30007215_020,Various Trans Text Here,560,50300,ADVERTISING,8.4
16,2018-02-14,30007215_020,Various Trans Text Here,560,50300,ADVERTISING,1200.0
17,2018-02-14,30007215_020,Various Trans Text Here,560,50300,ADVERTISING,225.0
18,2018-02-26,30007242_020,Various Trans Text Here,560,50300,ADVERTISING,103.67
19,2018-02-26,30007242_020,Various Trans Text Here,560,50300,ADVERTISING,641.97
20,2018-02-28,30007239_020,Various Trans Text Here,560,50300,ADVERTISING,297.83
21,2018-03-01,30007240_020,Various Trans Text Here,560,50300,ADVERTISING,-297.83
22,2018-03-07,30007266_020,Various Trans Text Here,560,50300,ADVERTISING,638.14
23,2018-03-19,30007315_020,Various Trans Text Here,560,50300,ADVERTISING,400.31
24,2018-03-27,30007282_020,Various Trans Text Here,560,50300,ADVERTISING,2000.0
25,2018-03-29,30007295_020,Various Trans Text Here,560,50300,ADVERTISING,50.0
26,2018-03-29,30007295_020,Various Trans Text Here,560,50300,ADVERTISING,157.6
27,2018-03-29,30007295_020,Various Trans Text Here,560,50300,ADVERTISING,171.72
28,2018-03-29,30007295_020,Various Trans Text Here,560,50300,ADVERTISING,222.95
29,2018-03-31,30007316_020,Various Trans Text Here,560,50300,ADVERTISING,535.72
30,2018-04-01,30007317_020,Various Trans Text Here,560,50300,ADVERTISING,-535.72
31,2018-04-06,30007345_020,Various Trans Text Here,560,50300,ADVERTISING,100.0
32,2018-04-06,30007345_020,Various Trans Text Here,560,50300,ADVERTISING,596.06
37,2018-01-12,30007143_020,Various Trans Text Here,560,50301,PHOTOGRAPHY,99.0
38,2018-02-14,30007215_020,Various Trans Text Here,560,50301,PHOTOGRAPHY,99.0
39,2018-03-12,30007267_020,Various Trans Text Here,560,50301,PHOTOGRAPHY,62.82
40,2018-03-27,30007282_020,Various Trans Text Here,560,50301,PHOTOGRAPHY,22.09
47,2018-04-11,30007340_020,Various Trans Text Here,560,50302,CONTESTS,50.0
48,2018-04-11,30007340_020,Various Trans Text Here,560,50302,CONTESTS,50.0
49,2018-04-11,30007340_020,Various Trans Text Here,560,50302,CONTESTS,50.0
50,2018-04-11,30007340_020,Various Trans Text Here,560,50302,CONTESTS,50.0
51,2018-04-11,30007340_020,Various Trans Text Here,560,50302,CONTESTS,50.0
52,2018-04-11,30007340_020,Various Trans Text Here,560,50302,CONTESTS,50.0
53,2018-04-11,30007340_020,Various Trans Text Here,560,50302,CONTESTS,50.0
58,2018-01-12,30007143_020,Various Trans Text Here,500,50800,AUTO EXPENSES,171.49
59,2018-01-26,30007154_020,Various Trans Text Here,500,50800,AUTO EXPENSES,200.0
60,2018-01-29,30007188_020,Various Trans Text Here,500,50800,AUTO EXPENSES,88.8
61,2018-02-14,30007215_020,Various Trans Text Here,500,50800,AUTO EXPENSES,85.1
62,2018-02-14,30007215_020,Various Trans Text Here,500,50800,AUTO EXPENSES,21.64
63,2018-02-14,30007215_020,Various Trans Text Here,500,50800,AUTO EXPENSES,20.34
68,2018-01-16,30007213_020,Various Trans Text Here,510,50900,GAS & OIL EXPENSE,53.85
69,2018-01-26,30007154_020,Various Trans Text Here,510,50900,GAS & OIL EXPENSE,398.36
70,2018-02-14,30007202_020,Various Trans Text Here,510,50900,GAS & OIL EXPENSE,560.26
71,2018-02-28,30007228_020,Various Trans Text Here,510,50900,GAS & OIL EXPENSE,236.14
72,2018-03-12,30007267_020,Various Trans Text Here,510,50900,GAS & OIL EXPENSE,344.28
77,2018-01-31,30007206_020,Various Trans Text Here,500,51200,BANK CHARGES,33.0
78,2018-02-28,30007254_020,Various Trans Text Here,500,51200,BANK CHARGES,43.0
79,2018-03-31,30007331_020,Various Trans Text Here,500,51200,BANK CHARGES,30.0
84,2018-01-01,30007108_020,Various Trans Text Here,522,51500,COMMISSIONS,-257.23
85,2018-01-01,30007108_020,Various Trans Text Here,520,51500,COMMISSIONS,-195.71
86,2018-01-12,30007164_020,Various Trans Text Here,520,51500,COMMISSIONS,1156.04
87,2018-01-12,30007164_020,Various Trans Text Here,522,51500,COMMISSIONS,410.47
90,2018-01-26,30007163_020,Various Trans Text Here,520,51500,COMMISSIONS,766.67
91,2018-01-26,30007163_020,Various Trans Text Here,522,51500,COMMISSIONS,368.52
92,2018-01-31,30007177_020,Various Trans Text Here,520,51500,COMMISSIONS,1922.71
93,2018-01-31,30007177_020,Various Trans Text Here,522,51500,COMMISSIONS,778.99
94,2018-01-31,30007198_020,Various Trans Text Here,520,51500,COMMISSIONS,1922.71
95,2018-01-31,30007198_020,Various Trans Text Here,522,51500,COMMISSIONS,778.99
96,2018-02-01,30007199_020,Various Trans Text Here,520,51500,COMMISSIONS,-1922.71
97,2018-02-01,30007199_020,Various Trans Text Here,522,51500,COMMISSIONS,-778.99
98,2018-02-01,30007178_020,Various Trans Text Here,520,51500,COMMISSIONS,-1922.71
99,2018-02-01,30007178_020,Various Trans Text Here,522,51500,COMMISSIONS,-778.99
100,2018-02-09,30007220_020,Various Trans Text Here,520,51500,COMMISSIONS,821.6
101,2018-02-09,30007220_020,Various Trans Text Here,522,51500,COMMISSIONS,270.19
102,2018-02-23,30007221_020,Various Trans Text Here,520,51500,COMMISSIONS,681.29
103,2018-02-23,30007221_020,Various Trans Text Here,522,51500,COMMISSIONS,483.8
104,2018-02-28,30007225_020,Various Trans Text Here,520,51500,COMMISSIONS,1502.89
105,2018-02-28,30007225_020,Various Trans Text Here,522,51500,COMMISSIONS,753.99
106,2018-03-01,30007226_020,Various Trans Text Here,520,51500,COMMISSIONS,-1502.89
107,2018-03-01,30007226_020,Various Trans Text Here,522,51500,COMMISSIONS,-753.99
108,2018-03-09,30007294_020,Various Trans Text Here,520,51500,COMMISSIONS,1143.01
109,2018-03-09,30007294_020,Various Trans Text Here,522,51500,COMMISSIONS,473.78
110,2018-03-09,30007301_020,Various Trans Text Here,520,51500,COMMISSIONS,1143.01
111,2018-03-09,30007301_020,Various Trans Text Here,522,51500,COMMISSIONS,473.78
112,2018-03-09,30007306_020,Various Trans Text Here,520,51500,COMMISSIONS,-1143.01
113,2018-03-09,30007306_020,Various Trans Text Here,522,51500,COMMISSIONS,-473.78
114,2018-03-23,30007302_020,Various Trans Text Here,520,51500,COMMISSIONS,1067.71
115,2018-03-23,30007302_020,Various Trans Text Here,522,51500,COMMISSIONS,729.94
116,2018-03-31,30007309_020,Various Trans Text Here,520,51500,COMMISSIONS,2210.72
117,2018-03-31,30007309_020,Various Trans Text Here,522,51500,COMMISSIONS,1203.72
118,2018-04-01,30007310_020,Various Trans Text Here,520,51500,COMMISSIONS,-2210.72
119,2018-04-01,30007310_020,Various Trans Text Here,522,51500,COMMISSIONS,-1203.72
123,2018-01-31,30007176_020,Various Trans Text Here,500,59600,ALLOCATION - G & A,10000.0
124,2018-02-28,30007232_020,Various Trans Text Here,500,59600,ALLOCATION - G & A,10000.0
125,2018-03-31,30007300_020,Various Trans Text Here,500,59600,ALLOCATION - G & A,10000.0
